Id,GrLivArea,TotRmsAbvGrd,LotArea,GarageArea,SalePrice,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,2ndFlrSF,Neighborhood,RoofMatl,KitchenAbvGr,LotFrontage,1stFlrSF,MasVnrArea,WoodDeckSF,OpenPorchSF,PoolArea
1303,2526,8,10120,844,290000,8,1994,1994,1165,1323,NoRidge,CompShg,1,92.0,1203,391.0,309,78,0
1304,1616,7,8688,834,232000,7,2005,2005,1616,0,Somerst,CompShg,1,73.0,1616,228.0,208,59,0
1306,1652,6,13173,840,325000,9,2006,2007,1652,0,NridgHt,CompShg,1,108.0,1652,300.0,404,102,0
1307,1368,6,6955,474,202500,7,2005,2006,1368,0,NridgHt,CompShg,1,48.0,1368,94.0,132,35,0
1312,1274,6,8814,508,203000,7,2005,2007,1274,0,CollgCr,CompShg,1,68.0,1274,80.0,264,98,0
1314,2599,10,14774,779,333168,9,1999,1999,1393,1177,NoRidge,CompShg,1,108.0,1422,165.0,668,30,0
1317,1630,8,10226,860,295493,8,2008,2008,1622,0,CollgCr,CompShg,1,61.0,1630,270.0,172,42,0
1331,1588,7,10000,825,227000,8,2006,2006,1588,0,Somerst,CompShg,1,85.0,1588,410.0,144,45,0
1360,1980,8,16737,770,315000,9,2004,2005,1980,0,NridgHt,CompShg,1,129.0,1980,66.0,194,45,0
1362,1530,7,16158,430,260000,7,2005,2005,1530,0,StoneBr,CompShg,1,124.0,1530,16.0,168,36,0
1376,1571,7,10991,722,239000,8,2007,2007,1571,0,Timber,CompShg,1,89.0,1571,80.0,100,36,0
1379,987,5,1953,264,83000,6,1973,1973,483,504,BrDale,CompShg,1,21.0,483,408.0,72,0,0
1389,1746,7,14892,758,377500,9,2006,2007,1746,0,Gilbert,CompShg,1,42.0,1746,160.0,201,39,0
1391,1525,6,9100,541,235000,7,2000,2000,1525,0,CollgCr,CompShg,1,70.0,1525,244.0,219,36,0
1395,1500,6,4045,648,246578,7,2006,2006,1356,0,Blmngtn,CompShg,1,53.0,1500,45.0,161,20,0
1396,2482,9,12665,642,281213,8,2005,2006,1094,1349,Timber,CompShg,1,88.0,1133,245.0,144,39,0
1404,1464,6,15256,754,282922,8,2007,2007,1485,0,Somerst,CompShg,1,49.0,1464,84.0,168,160,0
1406,1646,5,3842,482,275000,8,2004,2005,1594,0,Crawfor,CompShg,1,44.0,1646,174.0,128,53,0
1410,2093,7,20544,542,215000,7,1986,1991,791,857,NWAmes,CompShg,1,46.0,1236,123.0,364,63,0
1414,1844,7,10994,620,257000,8,2005,2006,1844,0,SawyerW,CompShg,1,88.0,1844,366.0,165,44,0
1416,1569,7,3635,660,175900,7,2007,2007,1386,0,Blmngtn,CompShg,1,51.0,1569,130.0,143,20,0
1423,848,3,4435,420,136500,6,2003,2003,848,0,CollgCr,CompShg,1,37.0,848,170.0,140,0,0
1427,2127,5,10944,525,271000,7,1994,1994,1223,904,NoRidge,CompShg,1,81.0,1223,448.0,171,132,0
1443,2007,10,11003,812,310000,10,2008,2008,1017,981,Somerst,CompShg,1,85.0,1026,160.0,168,52,0
1445,1422,7,8500,626,179600,7,2004,2004,1422,0,CollgCr,CompShg,1,63.0,1422,106.0,192,60,0
1457,2073,7,13175,500,210000,6,1978,1988,1542,0,NWAmes,CompShg,1,85.0,2073,119.0,349,0,0
